Class_Name,Area,Perimeter,Mean,Std_Dev,Max_Value,Min_Value,Contrast,Dissimilarity,Homogeneity,Energy
B00001.pgm,41.5,25.071067571640015,154.59375,124.58803598635585,255,0,14739.0,57.8,0.7733368191185064,0.5809570647742491
B00002.pgm,44.0,25.656854152679443,159.0,123.54756169184401,255,0,13411.40625,52.59375,0.7937531718081998,0.5968995413802896
B00003.pgm,36.5,24.242640614509583,163.25396825396825,122.38424634769882,255,0,12750.0,50.0,0.8039245840125488,0.6088620460159957
B00004.pgm,2.0,5.656854152679443,165.27777777777777,121.77474904992758,255,0,12385.714285714284,48.57142857142857,0.8095267387550474,0.6150548702904282
B00005.pgm,38.5,24.242640614509583,156.75,124.09950644543274,255,0,13411.40625,52.59375,0.7937531718081998,0.5938980078683544
B00006.pgm,43.5,25.071067690849304,150.75,125.36222517169995,255,0,13411.40625,52.59375,0.7937531718081998,0.5872838698193574
B00007.pgm,45.5,26.242640614509583,158.53174603174602,123.6660047798958,255,0,12750.0,50.0,0.8039245840125488,0.6017847272432039
B00008.pgm,84.5,48.38477599620819,157.14285714285714,124.00625395683947,255,0,13933.92857142857,54.64285714285714,0.7857175810994284,0.5904719901924341
B00009.pgm,33.5,22.242640614509583,162.85714285714286,122.49947938248388,255,0,13546.875,53.125,0.791669870513333,0.6016764890750418
B00010.pgm,42.5,25.071067571640015,151.40625,125.23873686259176,255,0,14305.5,56.1,0.7800033832620799,0.5807657779939249
B00011.pgm,45.0,25.656854152679443,154.59375,124.58803598635585,255,0,14305.5,56.1,0.7800033832620799,0.5841232746604094
B00012.pgm,44.0,25.656854152679443,157.78125,123.85191116182867,255,0,14739.0,57.8,0.7733368191185064,0.5849216471745026
B00013.pgm,41.0,24.82842707633972,164.25,122.08885084232712,255,0,13411.40625,52.59375,0.7937531718081998,0.6049761100655133
B00014.pgm,42.0,25.656854152679443,152.25,125.07472766310546,255,0,13411.40625,52.59375,0.7937531718081998,0.5887453556080082
B00015.pgm,42.5,25.071067571640015,153.796875,124.75866448962323,255,0,14305.5,56.1,0.7800033832620799,0.5832285620196902
B00016.pgm,44.0,25.656854152679443,157.85714285714286,123.8333310443962,255,0,13546.875,53.125,0.791669870513333,0.5943147600502662
B00017.pgm,44.0,25.656854152679443,157.09821428571428,124.01691703593079,255,0,14450.0,56.666666666666664,0.7777811952142221,0.5861163501501457
B00018.pgm,47.5,27.071067690849304,159.88095238095238,123.31960072471242,255,0,12750.0,50.0,0.8039245840125488,0.6036853240444213
B00019.pgm,41.5,25.071067690849304,156.75,124.09950644543274,255,0,13411.40625,52.59375,0.7937531718081998,0.5938980078683544
B00020.pgm,40.5,25.071067571640015,156.1875,124.23074234564487,255,0,14305.5,56.1,0.7800033832620799,0.5860223734826361
B00021.pgm,44.0,25.656854152679443,153.0,124.92397688194208,255,0,14305.5,56.1,0.7800033832620799,0.582370634180292
B00022.pgm,2.0,5.656854152679443,161.42857142857142,122.90281543079605,255,0,13933.92857142857,54.64285714285714,0.7857175810994284,0.5965610298689286
B00023.pgm,82.5,46.72792184352875,159.0,123.54756169184401,255,0,13817.8125,54.1875,0.7875032679235998,0.5938486760109851
B00024.pgm,43.0,25.656854152679443,152.203125,125.08399424080754,255,0,14305.5,56.1,0.7800033832620799,0.5815496539419485
B00025.pgm,44.0,26.485281109809875,154.28571428571428,124.65462490499131,255,0,13159.82142857143,51.60714285714286,0.797622159927238,0.5928673024564565
B00026.pgm,45.0,25.656854152679443,165.71428571428572,121.63847404233144,255,0,13546.875,53.125,0.7916698705133332,0.6064859892050606
B00027.pgm,45.5,25.899494767189026,155.0,124.49899597988733,255,0,13546.875,53.125,0.7916698705133332,0.5907269532815761
B00028.pgm,32.5,22.242640614509583,161.25,122.95197233066251,255,0,13817.8125,54.1875,0.7875032679235998,0.5971448997102797
B00029.pgm,45.5,25.899494767189026,151.5,125.2208049806421,255,0,13411.40625,52.59375,0.7937531718081998,0.5879984587564835
B00030.pgm,44.5,25.071067690849304,163.5,122.31210079137713,255,0,13411.40625,52.59375,0.7937531718081998,0.603731883786172
B00031.pgm,43.5,25.071067690849304,156.33928571428572,124.19559412269743,255,0,14037.142857142859,55.04761904761905,0.784130303922387,0.5881932313448097
B00032.pgm,38.0,23.656854152679443,160.71428571428572,123.09777099724346,255,0,13159.82142857143,51.60714285714286,0.797622159927238,0.6012788713892567
B00033.pgm,40.0,24.82842707633972,162.0,122.74363527287271,255,0,13411.40625,52.59375,0.7937531718081998,0.6013331543329371
B00034.pgm,41.5,25.071067690849304,151.5,125.2208049806421,255,0,13411.40625,52.59375,0.7937531718081998,0.5879984587564835
B00035.pgm,43.0,25.656854152679443,152.54464285714286,125.0160624246267,255,0,14037.142857142859,55.04761904761905,0.784130303922387,0.5838940184157982
